"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"globals","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.16.3",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.3.2"
"glue","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.7.0",NA,"R (>= 3.6)","methods",NA,"crayon, DBI (>= 1.2.0), dplyr, knitr, magrittr, rlang,
rmarkdown, RSQLite, testthat (>= 3.2.0), vctrs (>= 0.3.0),
waldo (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.2"
"GO.db","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","3.18.0",NA,"R (>= 2.7.0), methods, AnnotationDbi (>= 1.63.2)",NA,NA,"DBI",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.2"
"goftest","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.2-3",NA,"R (>= 3.3)","stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.2"
"googledrive","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.1.1",NA,"R (>= 3.6)","cli (>= 3.0.0), gargle (>= 1.5.0), glue (>= 1.4.2), httr,
jsonlite, lifecycle, magrittr, pillar (>= 1.9.0), purrr (>=
1.0.1), rlang (>= 1.0.2), tibble (>= 2.0.0), utils, uuid, vctrs
(>= 0.3.0), withr",NA,"curl, dplyr (>= 1.0.0), knitr, mockr, rmarkdown, spelling,
testthat (>= 3.1.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"googlesheets4","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.1.1",NA,"R (>= 3.6)","cellranger, cli (>= 3.0.0), curl, gargle (>= 1.5.0), glue (>=
1.3.0), googledrive (>= 2.1.0), httr, ids, lifecycle, magrittr,
methods, purrr, rematch2, rlang (>= 1.0.2), tibble (>= 2.1.1),
utils, vctrs (>= 0.2.3), withr",NA,"readr, rmarkdown, spelling, testthat (>= 3.1.7)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"gower","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.0.1",NA,NA,NA,NA,"tinytest (>= 0.9.3),",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"gplots","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","3.1.3.1",NA,"R (>= 3.0)","gtools, stats, caTools, KernSmooth, methods",NA,"grid, MASS, knitr, r2d2",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.2"
"graphics","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","4.3.2","base",NA,"grDevices",NA,NA,NA,"Part of R 4.3.2",NA,NA,NA,NA,"yes","4.3.2"
"grDevices","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","4.3.2","base",NA,NA,NA,"KernSmooth",NA,"Part of R 4.3.2",NA,NA,NA,NA,"yes","4.3.2"
"grid","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","4.3.2","base",NA,"grDevices, utils",NA,NA,NA,"Part of R 4.3.2",NA,NA,NA,NA,"yes","4.3.2"
"gridBase","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.4-7",NA,"R (>= 2.3.0)","graphics, grid",NA,"lattice",NA,"GPL",NA,NA,NA,NA,"no","4.3.2"
"gridExtra","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.2"
"gsl","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.1-8",NA,"R (>= 4.0.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.2"
"gtable","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.3.4",NA,"R (>= 3.5)","cli, glue, grid, lifecycle, rlang (>= 1.1.0)",NA,"covr, ggplot2, knitr, profvis, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"gtools","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","3.9.5",NA,"methods, stats, utils",NA,NA,"car, gplots, knitr, rstudioapi, SGP, taxize",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.2"
"hardhat","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.3.1",NA,"R (>= 3.5.0)","cli (>= 3.6.0), glue (>= 1.6.2), rlang (>= 1.1.0), tibble (>=
3.2.1), vctrs (>= 0.6.0)",NA,"covr, crayon, devtools, knitr, Matrix, modeldata (>= 0.0.2),
recipes (>= 1.0.5), rmarkdown (>= 2.3), roxygen2, testthat (>=
3.0.0), usethis (>= 2.1.5)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"harmony","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.2.0",NA,"R(>= 3.5.0), Rcpp","dplyr, cowplot, ggplot2, Matrix, methods, tibble, rlang,
RhpcBLASctl","Rcpp, RcppArmadillo, RcppProgress","SingleCellExperiment, Seurat (>= 4.1.1), testthat, knitr,
rmarkdown, ggthemes, ggrepel, patchwork, tidyverse, tidyr,
data.table",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.2"
"haven","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.5.4",NA,"R (>= 3.6)","cli (>= 3.0.0), forcats (>= 0.2.0), hms, lifecycle, methods,
readr (>= 0.1.0), rlang (>= 0.4.0), tibble, tidyselect, vctrs
(>= 0.3.0)","cpp11","covr, crayon, fs, knitr, pillar (>= 1.4.0), rmarkdown,
testthat (>= 3.0.0), utf8",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.2"
"hdf5r","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.3.10",NA,"R (>= 3.2.2), methods","R6, bit64, utils",NA,"testthat, knitr, rmarkdown, nycflights13, reshape2, formatR,",NA,"Apache License 2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"here","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.0.1",NA,NA,"rprojroot (>= 2.0.2)",NA,"conflicted, covr, fs, knitr, palmerpenguins, plyr, readr,
rlang, rmarkdown, testthat, uuid, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"hexbin","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.28.3",NA,"R (>= 2.0.1), methods","lattice, grid, graphics, grDevices, stats, utils",NA,"marray, affy, Biobase, limma, knitr",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.2"
"highr","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.10",NA,"R (>= 3.3.0)","xfun (>= 0.18)",NA,"knitr, markdown, testit",NA,"GPL",NA,NA,NA,NA,"no","4.3.0"
"Hmisc","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","5.1-1",NA,NA,"methods, ggplot2, cluster, rpart, nnet, foreign, gtable, grid,
gridExtra, data.table, htmlTable (>= 1.11.0), viridis,
htmltools, base64enc, colorspace, rmarkdown, knitr, Formula",NA,"survival, qreport, acepack, chron, rms, mice, rstudioapi,
tables, plotly (>= 4.5.6), rlang, plyr, VGAM, leaps, pcaPP,
digest, parallel, polspline, abind, kableExtra, rio, lattice,
latticeExtra, gt, sparkline, jsonlite, htmlwidgets, qs,
getPass, keyring, safer",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.2"
"hms","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.1.3",NA,NA,"lifecycle, methods, pkgconfig, rlang (>= 1.0.2), vctrs (>=
0.3.8)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"htmlTable","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.4.2",NA,"R (>= 4.1)","stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",NA,"testthat, XML, xml2, Hmisc, rmarkdown, chron, lubridate,
tibble, purrr, tidyselect, glue, rlang, tidyr (>= 0.7.2), dplyr
(>= 0.7.4)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.2"
"htmltools","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.5.7",NA,"R (>= 2.14.1)","base64enc, digest, ellipsis, fastmap (>= 1.1.0), grDevices,
rlang (>= 1.0.0), utils",NA,"Cairo, markdown, ragg, shiny, testthat, withr","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.2"
"htmlwidgets","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.6.4",NA,NA,"grDevices, htmltools (>= 0.5.7), jsonlite (>= 0.9.16), knitr
(>= 1.8), rmarkdown, yaml",NA,"testthat","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"httpuv","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.6.14",NA,"R (>= 2.15.1)","later (>= 0.8.0), promises, R6, Rcpp (>= 1.0.7), utils","later, Rcpp","callr, curl, testthat, websocket",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.3.2"
"httr","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.4.7",NA,"R (>= 3.5)","curl (>= 5.0.2), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"httr2","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.0.0",NA,"R (>= 3.6)","cli (>= 3.0.0), curl (>= 5.1.0), glue, lifecycle, magrittr,
openssl, R6, rappdirs, rlang (>= 1.1.0), vctrs (>= 0.6.3),
withr",NA,"askpass, bench, clipr, covr, docopt, httpuv, jose, jsonlite,
knitr, rmarkdown, testthat (>= 3.1.8), tibble, webfakes, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"ica","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.0-3",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.2"
"ids","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.0.1",NA,NA,"openssl, uuid",NA,"knitr, rcorpora, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"igraph","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.0.3",NA,"methods, R (>= 3.5.0)","cli, graphics, grDevices, lifecycle, magrittr, Matrix,
pkgconfig (>= 2.0.0), rlang, stats, utils, vctrs","cpp11 (>= 0.4.7)","ape (>= 5.7-0.1), callr, decor, digest, graph, igraphdata,
knitr, rgl, rmarkdown, scales, stats4, tcltk, testthat, vdiffr,
withr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.2"
"ini","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.3.1",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.2"
"ipred","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.9-14",NA,"R (>= 2.10)","rpart (>= 3.1-8), MASS, survival, nnet, class, prodlim",NA,"mvtnorm, mlbench, TH.data, randomForest, party",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.2"
"IRanges","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.34.1",NA,"R (>= 4.0.0), methods, utils, stats, BiocGenerics (>= 0.39.2),
S4Vectors (>= 0.33.3)","stats4","S4Vectors","XVector, GenomicRanges, Rsamtools, GenomicAlignments,
GenomicFeatures, BSgenome.Celegans.UCSC.ce2, pasillaBamSubset,
RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.3.0"
"IRdisplay","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.1",NA,"R (>= 3.0.1)","methods,
repr",NA,"testthat,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,NA,"4.3.0"
"IRkernel","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.3.2",NA,"R (>= 3.2.0)","repr (>= 0.4.99), methods, evaluate (>= 0.10), IRdisplay (>=
0.3.0.9999), pbdZMQ (>= 0.2-1), crayon, jsonlite (>= 0.9.6),
uuid, digest",NA,"testthat, roxygen2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"irlba","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.3.5.1",NA,"R (>= 3.6.2), Matrix","stats, methods","Matrix",NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"isoband","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.2.7",NA,NA,"grid, utils",NA,"covr, ggplot2, knitr, magick, microbenchmark, rmarkdown, sf,
testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"iterators","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.0.14",NA,"R (>= 2.5.0), utils",NA,NA,"RUnit, foreach",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.3.0"
"jquerylib","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.1.4",NA,NA,"htmltools",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"jsonlite","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.8.8",NA,"methods",NA,NA,"httr, vctrs, testthat, knitr, rmarkdown, R.rsp, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.2"
"KEGGREST","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.42.0",NA,"R (>= 3.5.0)","methods, httr, png, Biostrings",NA,"RUnit, BiocGenerics, knitr, markdown",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.2"
"KernSmooth","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.23-22","recommended","R (>= 2.5.0), stats",NA,NA,"MASS, carData",NA,"Unlimited",NA,NA,NA,NA,"yes","4.3.0"
"knitr","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.45",NA,"R (>= 3.3.0)","evaluate (>= 0.15), highr, methods, tools, xfun (>= 0.39),
yaml (>= 2.1.19)",NA,"bslib, codetools, DBI (>= 0.4-1), digest, formatR, gifski,
gridSVG, htmlwidgets (>= 0.7), curl, jpeg, JuliaCall (>=
0.11.1), magick, markdown (>= 1.3), png, ragg, reticulate (>=
1.4), rgl (>= 0.95.1201), rlang, rmarkdown, sass, showtext,
styler (>= 1.2.0), targets (>= 0.6.0), testit, tibble,
tikzDevice (>= 0.10), tinytex (>= 0.46), webshot, rstudioapi,
svglite, xml2 (>= 1.2.0)",NA,"GPL",NA,NA,NA,NA,"no","4.3.1"
"labeling","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.4.3",NA,NA,"stats, graphics",NA,NA,NA,"MIT + file LICENSE | Unlimited",NA,NA,NA,NA,"no","4.3.1"
"lambda.r","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.2.4",NA,"R (>= 3.0.0)","formatR",NA,"testit",NA,"LGPL-3",NA,NA,NA,NA,"no","4.3.2"
"later","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.3.2",NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp","knitr, rmarkdown, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.2"
"lattice","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.22-5","recommended","R (>= 4.0.0)","grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra, colorspace","chron, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"lava","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.8.0",NA,"R (>= 3.0)","cli, future.apply, graphics, grDevices, methods, numDeriv,
progressr, stats, survival, SQUAREM, utils",NA,"KernSmooth, Rgraphviz, data.table, ellipse, fields, geepack,
graph, knitr, rmarkdown, igraph (>= 0.6), lavaSearch2, lme4 (>=
1.1.35.1), MASS, Matrix (>= 1.6.3), mets (>= 1.1), nlme,
optimx, polycor, quantreg, rgl, targeted (>= 0.4), testthat (>=
0.11), visNetwork",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.2"
"lazyeval","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.2.2",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.2"
"leiden","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.4.3.1",NA,NA,"methods, reticulate, Matrix, igraph (>= 1.2.7)",NA,"bipartite, covr, data.table, devtools, graphsim, knitr,
markdown, multiplex, multinet, network, qpdf, RColorBrewer,
remotes, rmarkdown, spelling, testthat, tibble",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"lhs","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.1.6",NA,"R (>= 3.4.0)","Rcpp","Rcpp","testthat, assertthat, DoE.base, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.2"
"lifecycle","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.0.4",NA,"R (>= 3.6)","cli (>= 3.4.0), glue, rlang (>= 1.1.0)",NA,"covr, crayon, knitr, lintr, rmarkdown, testthat (>= 3.0.1),
tibble, tidyverse, tools, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"limma","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","3.58.1",NA,"R (>= 3.6.0)","grDevices, graphics, stats, utils, methods, statmod",NA,"BiasedUrn, ellipse, gplots, knitr, locfit, MASS, splines,
affy, AnnotationDbi, Biobase, BiocStyle, GO.db, illuminaio,
org.Hs.eg.db, vsn",NA,"GPL (>=2)",NA,NA,NA,NA,"yes","4.3.2"
"listenv","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.9.1",NA,"R (>= 3.1.2)",NA,NA,"R.utils, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.3.2"
"lme4","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.1-35.2",NA,"R (>= 3.5.0), Matrix (>= 1.2-1), methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4)","Rcpp (>= 0.10.5), RcppEigen (>= 0.3.3.9.4), Matrix","knitr, rmarkdown, MEMSS, testthat (>= 0.8.1), ggplot2,
mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR3,
numDeriv, car, dfoptim, mgcv, statmod, rr2, semEff, tibble,
merDeriv",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.2"
"lmtest","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.9-40",NA,"R (>= 3.0.0), stats, zoo","graphics",NA,"car, strucchange, sandwich, dynlm, stats4, survival, AER",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.2"
"locfit","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.5-9.8",NA,"R (>= 4.1.0)","lattice",NA,"interp, gam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.2"
"lubridate","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.9.3",NA,"methods, R (>= 3.2)","generics, timechange (>= 0.1.1)",NA,"covr, knitr, rmarkdown, testthat (>= 2.1.0), vctrs (>= 0.5.0)","chron, data.table, timeDate, tis, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"magrittr","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.0.3",NA,"R (>= 3.4.0)",NA,NA,"covr, knitr, rlang, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"MASS","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","7.3-60","recommended","R (>= 4.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"Matrix","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.6-5","recommended","R (>= 3.5.0), methods","grDevices, graphics, grid, lattice, stats, utils",NA,"MASS, datasets, sfsmisc, tools","SparseM, graph","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","4.3.2"
"MatrixGenerics","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.14.0",NA,"matrixStats (>= 1.0.0)","methods",NA,"Matrix, sparseMatrixStats, SparseArray, DelayedArray,
DelayedMatrixStats, SummarizedExperiment, testthat (>= 2.1.0)",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.2"
"MatrixModels","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.5-3",NA,"R (>= 3.6.0)","stats, methods, Matrix (>= 1.6-0)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.2"
"matrixStats","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.2.0",NA,"R (>= 2.12.0)",NA,NA,"base64enc, ggplot2, knitr, markdown, microbenchmark,
R.devices, R.rsp",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.3.2"
"memoise","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.0.1",NA,NA,"rlang (>= 0.4.10), cachem",NA,"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"metapod","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.10.1",NA,NA,"Rcpp","Rcpp","testthat, knitr, BiocStyle, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.2"
"methods","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","4.3.2","base",NA,"utils, stats",NA,"codetools",NA,"Part of R 4.3.2",NA,NA,NA,NA,"yes","4.3.2"
"mgcv","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.9-1","recommended","R (>= 3.6.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.2"
"mime","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.12",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.3.0"
"miniUI","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.1.1.1",NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.3.2"
"minqa","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.2.6",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.2"
"mlr","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","2.19.1",NA,"ParamHelpers (>= 1.10), R (>= 3.0.2)","backports (>= 1.1.0), BBmisc (>= 1.11), checkmate (>= 1.8.2),
data.table (>= 1.12.4), ggplot2, methods, parallelMap (>= 1.3),
stats, stringi, survival, utils, XML",NA,"ada, adabag, bartMachine, batchtools, bit64, brnn, bst, C50,
care, caret (>= 6.0-57), class, clue, cluster, ClusterR,
clusterSim (>= 0.44-5), cmaes, cowplot, crs, Cubist, deepnet,
DiceKriging, e1071, earth, elasticnet, emoa, evtree, fda.usc,
FDboost, FNN, forecast (>= 8.3), fpc, frbs, FSelector,
FSelectorRcpp (>= 0.3.5), gbm, GenSA, ggpubr, glmnet, GPfit,
h2o (>= 3.6.0.8), Hmisc, irace (>= 2.0), kernlab, kknn, klaR,
knitr, laGP, LiblineaR, lintr (>= 1.0.0.9001), MASS, mboost,
mco, mda, memoise, mlbench, mldr, mlrMBO, mmpf, modeltools,
mRMRe, neuralnet, nnet, numDeriv, pamr, pander, party, pec,
penalized (>= 0.9-47), pls, PMCMRplus, praznik (>= 5.0.0),
randomForest, ranger (>= 0.8.0), rappdirs, refund, rex, rFerns,
rgenoud, rmarkdown, Rmpi, ROCR, rotationForest, rpart, RRF,
rsm, RSNNS, rucrdtw, RWeka, sda, sf, smoof, sparseLDA, stepPlr,
survAUC, svglite, SwarmSVM, testthat, tgp, TH.data, tidyr,
tsfeatures, vdiffr, wavelets, xgboost (>= 0.7)",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.2"
"mlrMBO","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.1.5.1",NA,"mlr (>= 2.10), ParamHelpers (>= 1.10), smoof (>= 1.5.1)","backports (>= 1.1.0), BBmisc (>= 1.11), checkmate (>= 1.8.2),
data.table, lhs, parallelMap (>= 1.3)",NA,"cmaesr (>= 1.0.3), ggplot2, DiceKriging, earth, emoa, GGally,
gridExtra, kernlab, kknn, knitr, mco, nnet, party,
randomForest, reshape2, rmarkdown, rgenoud, rpart, testthat,
covr",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.2"
"ModelMetrics","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.2.2.2",NA,"R (>= 3.2.2)","Rcpp, data.table","Rcpp","testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"modelr","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.1.11",NA,"R (>= 3.2)","broom, magrittr, purrr (>= 0.2.2), rlang (>= 1.0.6), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs",NA,"compiler, covr, ggplot2, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.2"
"motifmatchr","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.24.0",NA,"R (>= 3.3)","Matrix, Rcpp, methods, TFBSTools, Biostrings, BSgenome,
S4Vectors, SummarizedExperiment, GenomicRanges, IRanges,
Rsamtools, GenomeInfoDb","Rcpp, RcppArmadillo","testthat, knitr, rmarkdown, BSgenome.Hsapiens.UCSC.hg19",NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"yes","4.3.2"
"munsell","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.5.1",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"nabor","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.5.0",NA,"R (>= 3.0.2)","Rcpp (>= 0.11.2), methods","Rcpp, RcppEigen (>= 0.3.2.2.0), BH (>= 1.54.0-4)","testthat, RANN",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.2"
"network","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.18.2",NA,"R (>= 2.10), utils","tibble, magrittr, statnet.common (>= 4.5), stats",NA,"sna, testthat, covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.2"
